name,real,user,sys
output-1000-1.log,1m24.145s,0m1.395s,0m0.225s
output-1000-10.log,1m24.333s,0m1.464s,0m0.258s
output-1000-11.log,1m24.807s,0m1.475s,0m0.248s
output-1000-12.log,1m24.418s,0m1.432s,0m0.304s
output-1000-13.log,1m24.461s,0m1.560s,0m0.171s
output-1000-14.log,1m24.289s,0m1.509s,0m0.242s
output-1000-15.log,1m24.029s,0m1.559s,0m0.163s
output-1000-16.log,1m24.256s,0m1.511s,0m0.205s
output-1000-17.log,1m24.366s,0m1.567s,0m0.156s
output-1000-18.log,1m24.430s,0m1.540s,0m0.186s
output-1000-19.log,1m24.275s,0m1.504s,0m0.221s
output-1000-2.log,1m24.195s,0m1.508s,0m0.218s
output-1000-20.log,1m24.475s,0m1.554s,0m0.163s
output-1000-3.log,1m24.300s,0m1.532s,0m0.178s
output-1000-4.log,1m26.034s,0m2.497s,0m0.246s
output-1000-5.log,1m24.326s,0m1.485s,0m0.259s
output-1000-6.log,1m33.336s,0m2.447s,0m0.346s
output-1000-7.log,1m24.168s,0m1.501s,0m0.220s
output-1000-8.log,1m24.318s,0m1.519s,0m0.237s
output-1000-9.log,1m24.570s,0m1.527s,0m0.182s
output-10000-1.log,1m33.417s,0m1.388s,0m0.207s
output-10000-10.log,1m33.201s,0m1.476s,0m0.221s
output-10000-11.log,1m33.358s,0m1.465s,0m0.222s
output-10000-12.log,1m33.049s,0m1.466s,0m0.218s
output-10000-13.log,1m33.499s,0m1.472s,0m0.210s
output-10000-14.log,1m33.391s,0m1.483s,0m0.202s
output-10000-15.log,1m33.114s,0m1.483s,0m0.218s
output-10000-16.log,1m33.376s,0m1.545s,0m0.135s
output-10000-17.log,1m33.079s,0m1.565s,0m0.141s
output-10000-18.log,1m33.368s,0m1.425s,0m0.245s
output-10000-19.log,1m33.184s,0m1.481s,0m0.219s
output-10000-2.log,1m33.531s,0m1.418s,0m0.273s
output-10000-20.log,1m33.110s,0m1.470s,0m0.218s
output-10000-3.log,1m32.935s,0m1.548s,0m0.149s
output-10000-4.log,1m33.114s,0m1.510s,0m0.186s
output-10000-5.log,1m33.321s,0m1.478s,0m0.223s
output-10000-6.log,1m33.239s,0m1.492s,0m0.207s
output-10000-7.log,1m32.895s,0m1.492s,0m0.202s
output-10000-8.log,1m33.183s,0m1.517s,0m0.178s
output-10000-9.log,1m33.091s,0m1.489s,0m0.182s
output-5000-1.log,1m43.996s,0m1.554s,0m0.185s
output-5000-10.log,1m30.790s,0m1.483s,0m0.231s
output-5000-11.log,1m30.347s,0m1.453s,0m0.251s
output-5000-12.log,1m30.860s,0m1.547s,0m0.160s
output-5000-13.log,1m31.027s,0m1.482s,0m0.187s
output-5000-14.log,1m31.479s,0m2.398s,0m0.322s
output-5000-15.log,1m30.295s,0m1.495s,0m0.202s
output-5000-16.log,1m30.835s,0m1.416s,0m0.299s
output-5000-17.log,1m31.643s,0m1.467s,0m0.231s
output-5000-18.log,1m33.469s,0m1.501s,0m0.247s
output-5000-19.log,1m30.485s,0m1.502s,0m0.188s
output-5000-2.log,1m34.220s,0m2.473s,0m0.260s
output-5000-20.log,1m30.595s,0m1.460s,0m0.209s
output-5000-3.log,1m31.281s,0m1.459s,0m0.206s
output-5000-4.log,1m30.478s,0m1.473s,0m0.226s
output-5000-5.log,1m30.922s,0m1.529s,0m0.203s
output-5000-6.log,1m30.223s,0m1.504s,0m0.183s
output-5000-7.log,1m30.343s,0m1.507s,0m0.218s
output-5000-8.log,1m30.440s,0m1.496s,0m0.197s
output-5000-9.log,1m30.841s,0m1.518s,0m0.220s
