name,real,user,sys
output-1.log,0m18.715s,0m0.415s,0m0.056s
output-10.log,0m18.487s,0m0.430s,0m0.065s
output-11.log,0m18.439s,0m0.436s,0m0.065s
output-12.log,0m18.624s,0m0.432s,0m0.068s
output-13.log,0m18.517s,0m0.434s,0m0.068s
output-14.log,0m18.468s,0m0.438s,0m0.067s
output-15.log,0m18.417s,0m0.436s,0m0.065s
output-16.log,0m18.637s,0m0.438s,0m0.065s
output-17.log,0m18.488s,0m0.435s,0m0.066s
output-18.log,0m18.555s,0m0.439s,0m0.070s
output-19.log,0m18.799s,0m0.432s,0m0.066s
output-2.log,0m18.351s,0m0.438s,0m0.069s
output-20.log,0m18.360s,0m0.433s,0m0.068s
output-3.log,0m18.509s,0m0.438s,0m0.075s
output-4.log,0m18.498s,0m0.430s,0m0.065s
output-5.log,0m18.248s,0m0.426s,0m0.065s
output-6.log,0m18.550s,0m0.431s,0m0.064s
output-7.log,0m18.634s,0m0.428s,0m0.066s
output-8.log,0m18.820s,0m0.430s,0m0.065s
output-9.log,0m18.870s,0m0.436s,0m0.065
